"Time","Fridge (Kitchen, 180l)","Halogen lamp 1 (0,5kW)","Power supply for wood boiler ()","Site consumption ()","Total site light consumption ()","Vertical freezer (Cellar, 145l)","Washing machine ()","Water heater ()"
"1998-01-22 13:40:00.0","0","12","20","294","45","38","0","37"
"1998-01-22 13:50:00.0","11","0","11","85","3","18","0","37"
"1998-01-22 14:00:00.0","0","0","11","58","0","1","0","35"
"1998-01-22 14:10:00.0","0","0","10","176","0","0","0","38"
"1998-01-22 14:20:00.0","0","0","11","67","0","0","0","44"
"1998-01-22 14:30:00.0","8","0","11","47","0","13","0","0"
"1998-01-22 14:40:00.0","3","0","11","190","0","18","0","35"
"1998-01-22 14:50:00.0","0","0","10","61","0","2","0","36"
"1998-01-22 15:00:00.0","0","0","11","43","10","0","0","0"
"1998-01-22 15:10:00.0","0","0","11","190","11","0","0","35"
"1998-01-22 15:20:00.0","10","0","11","55","11","5","0","0"
"1998-01-22 15:30:00.0","0","0","11","114","31","19","0","36"
"1998-01-22 15:40:00.0","0","0","10","183","30","8","0","0"
"1998-01-22 15:50:00.0","0","0","11","81","15","0","0","36"
"1998-01-22 16:00:00.0","10","0","11","46","8","0","0","0"
"1998-01-22 16:10:00.0","0","0","11","136","7","0","0","0"
"1998-01-22 16:20:00.0","0","0","11","89","8","17","0","35"
"1998-01-22 16:30:00.0","0","0","10","39","8","14","0","0"
"1998-01-22 16:40:00.0","11","0","11","192","21","0","0","26"
"1998-01-22 16:50:00.0","0","0","11","48","18","0","0","9"
"1998-01-22 17:00:00.0","0","0","11","37","18","0","0","0"
"1998-01-22 17:10:00.0","0","0","10","199","18","9","0","40"
"1998-01-22 17:20:00.0","10","0","11","69","23","19","0","0"
"1998-01-22 17:30:00.0","0","0","11","51","23","3","0","0"
"1998-01-22 17:40:00.0","0","0","10","157","18","0","0","0"
"1998-01-22 17:50:00.0","0","45","11","201","24","0","0","103"
"1998-01-22 18:00:00.0","9","61","10","387","31","2","0","259"
"1998-01-22 18:10:00.0","0","62","9","330","34","20","0","90"
"1998-01-22 18:20:00.0","0","63","11","265","35","9","0","119"
"1998-01-22 18:30:00.0","5","63","10","205","38","0","0","74"
"1998-01-22 18:40:00.0","5","63","10","281","27","0","0","75"
"1998-01-22 18:50:00.0","0","64","10","176","27","0","0","37"
"1998-01-22 19:00:00.0","0","64","11","186","18","15","0","56"
"1998-01-22 19:10:00.0","10","63","10","254","18","16","0","40"
"1998-01-22 19:20:00.0","0","49","10","154","14","0","0","36"
"1998-01-22 19:30:00.0","7","35","11","71","14","0","0","0"
"1998-01-22 19:40:00.0","2","33","10","178","15","0","0","36"
