"Time","Chest freezer (Kitchen, 200l)","Clothes drier (without condenser) (3,2kW)","Dish washer (12 place setting)","Fridge (Kitchen, 200l)","Microwave oven (1,25kW)","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Washing machine (4,5kg, 2,2kW)"
"1998-01-22 17:40:00.0","0","0","0","10","0","0","0","106","54","0","0"
"1998-01-22 17:50:00.0","19","0","0","0","0","0","0","96","40","0","0"
"1998-01-22 18:00:00.0","19","0","0","10","0","0","0","90","40","0","0"
"1998-01-22 18:10:00.0","0","0","0","0","0","0","0","77","52","0","0"
"1998-01-22 18:20:00.0","0","0","0","0","0","0","0","91","51","0","0"
"1998-01-22 18:30:00.0","16","0","0","11","0","0","0","117","52","16","0"
"1998-01-22 18:40:00.0","18","0","0","0","0","0","0","116","49","18","0"
"1998-01-22 18:50:00.0","4","0","0","4","0","0","0","95","31","18","0"
"1998-01-22 19:00:00.0","0","0","0","6","0","0","0","62","14","18","0"
"1998-01-22 19:10:00.0","12","0","0","0","0","0","0","67","15","17","0"
"1998-01-22 19:20:00.0","19","0","0","11","0","0","0","98","15","17","0"
"1998-01-22 19:30:00.0","7","0","0","0","0","0","0","68","15","18","0"
"1998-01-22 19:40:00.0","0","0","0","1","0","0","0","56","15","16","0"
"1998-01-22 19:50:00.0","9","0","112","9","0","0","0","223","44","18","0"
"1998-01-22 20:00:00.0","19","0","222","0","0","0","0","332","32","18","0"
"1998-01-22 20:10:00.0","10","0","349","10","0","0","0","433","16","18","0"
"1998-01-22 20:20:00.0","0","0","333","0","0","0","0","397","14","18","0"
"1998-01-22 20:30:00.0","5","0","11","0","0","0","0","90","14","18","0"
"1998-01-22 20:40:00.0","19","0","255","11","0","0","0","339","10","18","0"
"1998-01-22 20:50:00.0","15","0","349","0","0","0","0","411","0","17","0"
"1998-01-22 21:00:00.0","0","0","214","4","0","0","0","272","0","17","0"
"1998-01-22 21:10:00.0","1","0","0","6","0","0","0","61","0","17","0"
"1998-01-22 21:20:00.0","20","0","0","0","0","0","0","60","0","17","0"
"1998-01-22 21:30:00.0","19","0","0","10","0","0","0","67","0","17","0"
"1998-01-22 21:40:00.0","3","0","0","0","0","0","0","54","1","17","0"
