"Time","Chest freezer (273l)","Dish washer (12 place setting)","Halogen lamp 1 ()","Halogen lamp 2 ()","Halogen lamp 3 ()","Halogen lamp 4 ()","Power supply for fuel boiler ()","Site consumption ()","Washing machine (3,25kW)"
"1998-01-23 11:20:00.0","14","0","14","40","90","27","39","465","0"
"1998-01-23 11:30:00.0","0","0","0","0","0","0","12","27","0"
"1998-01-23 11:40:00.0","6","0","0","0","0","0","12","165","0"
"1998-01-23 11:50:00.0","9","0","0","0","0","0","29","331","0"
"1998-01-23 12:00:00.0","0","0","0","0","0","0","12","105","0"
"1998-01-23 12:10:00.0","0","0","0","0","0","0","12","86","0"
"1998-01-23 12:20:00.0","15","0","0","0","0","0","13","81","0"
"1998-01-23 12:30:00.0","0","0","0","0","0","0","28","76","0"
"1998-01-23 12:40:00.0","0","0","0","0","0","0","13","139","0"
"1998-01-23 12:50:00.0","8","0","0","0","0","0","12","170","0"
"1998-01-23 13:00:00.0","7","0","0","0","0","0","31","111","0"
"1998-01-23 13:10:00.0","0","0","0","0","0","0","12","89","0"
"1998-01-23 13:20:00.0","0","0","0","0","0","0","12","49","0"
"1998-01-23 13:30:00.0","15","0","0","0","0","0","12","77","0"
"1998-01-23 13:40:00.0","0","0","0","0","0","0","28","75","0"
"1998-01-23 13:50:00.0","0","0","0","0","0","0","12","41","0"
"1998-01-23 14:00:00.0","10","0","0","0","0","0","12","36","0"
"1998-01-23 14:10:00.0","5","0","0","0","0","0","15","33","0"
"1998-01-23 14:20:00.0","0","0","0","0","0","0","26","40","0"
"1998-01-23 14:30:00.0","0","0","0","0","0","0","12","27","0"
"1998-01-23 14:40:00.0","15","0","0","0","0","0","12","41","0"
"1998-01-23 14:50:00.0","0","0","0","0","0","0","23","141","0"
"1998-01-23 15:00:00.0","0","0","0","0","0","0","17","114","0"
"1998-01-23 15:10:00.0","11","0","0","0","0","0","13","105","0"
"1998-01-23 15:20:00.0","4","0","0","0","0","0","12","96","0"
"1998-01-23 15:30:00.0","0","0","0","0","0","0","28","105","0"
"1998-01-23 15:40:00.0","1","0","0","0","0","0","12","86","0"
"1998-01-23 15:50:00.0","14","0","0","0","0","0","12","87","0"
"1998-01-23 16:00:00.0","0","0","0","0","0","0","12","73","0"
"1998-01-23 16:10:00.0","0","0","0","0","0","0","20","73","0"
"1998-01-23 16:20:00.0","13","0","0","0","0","0","12","48","0"
"1998-01-23 16:30:00.0","1","0","0","0","0","0","13","39","0"
"1998-01-23 16:40:00.0","0","0","0","0","0","0","12","38","0"
"1998-01-23 16:50:00.0","4","0","0","0","0","0","13","44","0"
"1998-01-23 17:00:00.0","11","0","0","0","0","0","12","102","0"
"1998-01-23 17:10:00.0","0","0","0","0","0","0","12","57","0"
"1998-01-23 17:20:00.0","0","0","0","0","0","0","13","59","0"
"1998-01-23 17:30:00.0","15","0","0","0","0","0","12","82","0"
"1998-01-23 17:40:00.0","0","0","0","0","0","0","12","74","0"
"1998-01-23 17:50:00.0","0","0","8","0","0","0","13","82","0"
"1998-01-23 18:00:00.0","5","0","75","0","0","0","12","158","0"
"1998-01-23 18:10:00.0","10","0","76","0","0","0","12","162","0"
"1998-01-23 18:20:00.0","0","0","74","0","0","0","12","422","0"
"1998-01-23 18:30:00.0","0","0","73","0","0","0","12","393","0"
"1998-01-23 18:40:00.0","15","0","74","0","0","0","12","271","0"
"1998-01-23 18:50:00.0","0","0","74","0","65","0","11","240","0"
"1998-01-23 19:00:00.0","0","0","59","0","72","0","12","232","0"
"1998-01-23 19:10:00.0","4","0","0","0","73","0","13","191","0"
"1998-01-23 19:20:00.0","11","0","0","0","72","0","5","254","0"
"1998-01-23 19:30:00.0","0","0","39","0","18","0","6","199","0"
"1998-01-23 19:40:00.0","0","0","50","0","0","0","42","191","0"
"1998-01-23 19:50:00.0","14","0","51","0","0","0","23","237","0"
"1998-01-23 20:00:00.0","0","0","51","0","0","0","13","140","0"
"1998-01-23 20:10:00.0","0","0","51","0","0","0","30","172","0"
"1998-01-23 20:20:00.0","3","0","38","0","67","0","12","235","0"
"1998-01-23 20:30:00.0","11","0","0","0","2","0","12","237","0"
"1998-01-23 20:40:00.0","0","0","0","0","0","0","26","117","0"
"1998-01-23 20:50:00.0","0","0","20","0","0","0","12","91","0"
"1998-01-23 21:00:00.0","15","0","0","0","0","0","13","90","0"
"1998-01-23 21:10:00.0","0","0","0","0","37","0","22","117","0"
"1998-01-23 21:20:00.0","0","0","54","0","73","0","18","182","0"
"1998-01-23 21:30:00.0","5","0","56","0","73","0","12","180","0"
"1998-01-23 21:40:00.0","10","0","57","0","73","0","12","186","0"
"1998-01-23 21:50:00.0","0","0","57","0","73","0","28","191","0"
"1998-01-23 22:00:00.0","0","0","58","0","73","0","12","178","0"
"1998-01-23 22:10:00.0","14","0","57","0","73","0","13","202","0"
"1998-01-23 22:20:00.0","1","0","57","0","73","0","24","195","0"
"1998-01-23 22:30:00.0","0","0","58","0","52","0","16","161","0"
"1998-01-23 22:40:00.0","4","0","58","0","0","0","12","90","0"
"1998-01-23 22:50:00.0","11","0","58","0","0","0","13","101","0"
"1998-01-23 23:00:00.0","0","0","39","0","69","0","29","223","0"
"1998-01-23 23:10:00.0","0","0","40","0","75","0","12","167","0"
"1998-01-23 23:20:00.0","14","0","2","0","75","0","13","134","0"
"1998-01-23 23:30:00.0","1","0","0","0","76","0","12","121","0"
"1998-01-23 23:40:00.0","0","0","0","0","75","0","13","114","0"
"1998-01-23 23:50:00.0","3","0","0","0","49","0","13","102","0"
"1998-01-24 00:00:00.0","12","0","0","0","0","0","12","59","0"
"1998-01-24 00:10:00.0","0","0","0","0","0","0","21","50","0"
"1998-01-24 00:20:00.0","0","0","0","0","0","0","21","51","0"
"1998-01-24 00:30:00.0","14","0","0","0","0","0","13","43","0"
"1998-01-24 00:40:00.0","1","0","0","0","0","0","12","32","0"
"1998-01-24 00:50:00.0","0","0","0","0","0","0","13","30","0"
"1998-01-24 01:00:00.0","3","0","0","0","0","0","13","33","0"
"1998-01-24 01:10:00.0","11","0","0","0","0","0","12","40","0"
"1998-01-24 01:20:00.0","0","0","0","0","0","0","14","32","0"
"1998-01-24 01:30:00.0","0","0","0","0","0","0","26","42","0"
"1998-01-24 01:40:00.0","15","0","0","0","0","0","13","46","0"
"1998-01-24 01:50:00.0","0","0","0","0","0","0","12","50","0"
"1998-01-24 02:00:00.0","0","0","0","0","0","0","12","46","0"
"1998-01-24 02:10:00.0","3","0","0","0","0","0","13","44","0"
"1998-01-24 02:20:00.0","12","0","0","0","0","0","12","40","0"
"1998-01-24 02:30:00.0","0","0","0","0","0","0","17","34","0"
"1998-01-24 02:40:00.0","0","0","0","0","0","0","23","39","0"
"1998-01-24 02:50:00.0","13","0","0","0","0","0","12","40","0"
"1998-01-24 03:00:00.0","2","0","0","0","0","0","13","29","0"
"1998-01-24 03:10:00.0","0","0","0","0","0","0","12","27","0"
"1998-01-24 03:20:00.0","1","0","0","0","0","0","13","28","0"
"1998-01-24 03:30:00.0","14","0","0","0","0","0","12","40","0"
"1998-01-24 03:40:00.0","0","0","0","0","0","0","20","34","0"
"1998-01-24 03:50:00.0","0","0","0","0","0","0","20","53","0"
"1998-01-24 04:00:00.0","11","0","0","0","0","0","13","56","0"
"1998-01-24 04:10:00.0","4","0","0","0","0","0","12","44","0"
"1998-01-24 04:20:00.0","0","0","0","0","0","0","13","27","0"
"1998-01-24 04:30:00.0","0","0","0","0","0","0","12","27","0"
"1998-01-24 04:40:00.0","14","0","0","0","0","0","13","42","0"
"1998-01-24 04:50:00.0","0","0","0","0","0","0","21","35","0"
"1998-01-24 05:00:00.0","0","0","0","0","0","0","19","34","0"
