"Time","Chest freezer (Garage, 200l)","Clothes drier (without condenser) (5kg)","Electric Cooker (hot plate+oven) ()","Halogen lamp 1 ()","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","Washing machine (5kg)","Water heater ()"
"1998-01-25 11:30:00.0","1583","6449","2134","5","514","0","49411","5064","3712","8890"
"1998-01-25 11:40:00.0","1","303","0","0","0","0","32","0","0","0"
"1998-01-25 11:50:00.0","8","209","0","0","0","0","445","19","0","0"
"1998-01-25 12:00:00.0","3","228","0","0","0","0","467","31","0","0"
"1998-01-25 12:10:00.0","6","204","0","0","0","0","539","46","0","0"
"1998-01-25 12:20:00.0","5","216","0","0","0","0","492","40","0","0"
"1998-01-25 12:30:00.0","3","205","0","0","0","0","423","24","0","0"
"1998-01-25 12:40:00.0","8","192","0","0","0","0","413","25","0","0"
"1998-01-25 12:50:00.0","2","195","0","0","0","0","436","46","0","0"
"1998-01-25 13:00:00.0","10","183","0","0","0","0","830","23","0","304"
"1998-01-25 13:10:00.0","0","197","0","0","0","0","1221","25","0","362"
"1998-01-25 13:20:00.0","12","154","0","0","0","0","1054","29","0","369"
"1998-01-25 13:30:00.0","0","82","0","0","0","0","1001","2","0","368"
"1998-01-25 13:40:00.0","12","10","0","0","0","0","618","3","0","380"
"1998-01-25 13:50:00.0","0","0","0","0","0","0","830","0","0","381"
"1998-01-25 14:00:00.0","12","0","0","0","0","0","947","21","0","377"
"1998-01-25 14:10:00.0","0","0","0","0","0","0","1085","42","390","369"
"1998-01-25 14:20:00.0","12","0","0","0","0","0","1149","8","529","372"
"1998-01-25 14:30:00.0","0","0","0","0","0","0","921","0","349","376"
"1998-01-25 14:40:00.0","13","0","0","0","0","0","594","0","38","383"
"1998-01-25 14:50:00.0","0","0","0","0","0","0","581","0","30","386"
"1998-01-25 15:00:00.0","13","0","0","0","0","0","265","0","28","70"
"1998-01-25 15:10:00.0","0","0","0","0","0","0","183","0","30","0"
"1998-01-25 15:20:00.0","13","0","0","0","0","0","219","0","43","0"
"1998-01-25 15:30:00.0","0","0","0","0","0","0","225","0","77","0"
"1998-01-25 15:40:00.0","13","0","0","0","0","0","135","0","0","0"
"1998-01-25 15:50:00.0","0","0","0","0","0","0","108","0","0","0"
"1998-01-25 16:00:00.0","12","0","0","0","0","0","110","0","0","0"
"1998-01-25 16:10:00.0","1","0","0","0","0","0","98","0","0","0"
"1998-01-25 16:20:00.0","12","0","0","0","0","0","100","0","0","0"
"1998-01-25 16:30:00.0","0","0","0","0","0","0","120","0","0","0"
"1998-01-25 16:40:00.0","13","0","0","0","0","0","113","0","0","0"
"1998-01-25 16:50:00.0","0","0","0","0","0","0","97","0","0","0"
"1998-01-25 17:00:00.0","13","0","0","0","0","0","105","0","0","0"
"1998-01-25 17:10:00.0","0","0","0","0","0","0","93","0","0","0"
"1998-01-25 17:20:00.0","12","0","0","0","0","0","105","0","0","0"
"1998-01-25 17:30:00.0","0","0","0","0","0","0","98","0","0","0"
"1998-01-25 17:40:00.0","11","0","0","0","0","0","117","0","0","0"
"1998-01-25 17:50:00.0","1","0","0","0","0","0","121","0","0","0"
"1998-01-25 18:00:00.0","10","0","0","0","0","0","105","0","0","0"
"1998-01-25 18:10:00.0","2","0","0","0","0","0","104","0","0","0"
"1998-01-25 18:20:00.0","9","0","0","0","0","0","120","0","0","0"
"1998-01-25 18:30:00.0","3","0","0","0","0","0","117","0","0","0"
"1998-01-25 18:40:00.0","8","0","0","0","0","0","132","0","0","0"
"1998-01-25 18:50:00.0","4","0","0","0","0","0","136","0","0","0"
"1998-01-25 19:00:00.0","7","0","0","0","0","0","149","0","0","0"
"1998-01-25 19:10:00.0","5","0","0","0","0","0","136","0","0","0"
"1998-01-25 19:20:00.0","6","0","0","0","0","0","139","0","0","0"
"1998-01-25 19:30:00.0","6","0","0","0","0","0","137","0","0","0"
"1998-01-25 19:40:00.0","3","0","0","0","0","0","139","0","0","0"
