"Time","Chest freezer (Storeroom, 191l)","Fridge freezer (172l/94l)","Halogen lamp 1 (0,5kW)","Microwave oven (0,7kW)","Site consumption ()","Total site light consumption ()","TV (36cm)","Washing machine ()"
"1998-01-23 19:10:00.0","41","37","24","0","297","94","0","0"
"1998-01-23 19:20:00.0","14","21","0","0","103","32","0","0"
"1998-01-23 19:30:00.0","11","17","0","62","168","39","0","0"
"1998-01-23 19:40:00.0","0","4","0","0","70","28","0","0"
"1998-01-23 19:50:00.0","0","21","27","0","112","26","0","0"
"1998-01-23 20:00:00.0","12","19","41","0","128","14","5","0"
"1998-01-23 20:10:00.0","15","3","42","0","118","10","8","0"
"1998-01-23 20:20:00.0","15","19","42","0","131","10","9","0"
"1998-01-23 20:30:00.0","14","19","41","0","135","15","8","0"
"1998-01-23 20:40:00.0","15","4","42","0","118","10","8","0"
"1998-01-23 20:50:00.0","14","17","23","0","110","11","9","0"
"1998-01-23 21:00:00.0","15","21","0","0","80","11","7","0"
"1998-01-23 21:10:00.0","3","6","0","0","56","10","8","0"
"1998-01-23 21:20:00.0","0","14","26","0","94","13","8","0"
"1998-01-23 21:30:00.0","0","21","42","0","110","10","8","0"
"1998-01-23 21:40:00.0","8","7","42","0","107","10","8","0"
"1998-01-23 21:50:00.0","16","14","42","0","118","10","8","0"
"1998-01-23 22:00:00.0","15","20","34","0","115","10","8","0"
"1998-01-23 22:10:00.0","15","9","0","0","70","10","8","0"
"1998-01-23 22:20:00.0","15","11","0","0","71","10","8","0"
"1998-01-23 22:30:00.0","14","21","0","0","81","10","8","0"
"1998-01-23 22:40:00.0","15","11","0","0","71","9","9","0"
"1998-01-23 22:50:00.0","14","8","0","0","70","10","8","0"
"1998-01-23 23:00:00.0","14","21","0","0","80","10","8","0"
"1998-01-23 23:10:00.0","15","14","0","0","74","10","8","0"
"1998-01-23 23:20:00.0","4","5","0","0","57","10","8","0"
"1998-01-23 23:30:00.0","0","21","0","0","68","10","8","0"
"1998-01-23 23:40:00.0","0","18","0","0","64","10","7","0"
"1998-01-23 23:50:00.0","8","3","0","0","34","6","0","0"
"1998-01-24 00:00:00.0","15","20","0","0","47","0","0","0"
"1998-01-24 00:10:00.0","16","20","0","0","47","0","0","0"
"1998-01-24 00:20:00.0","15","3","0","0","32","0","0","0"
"1998-01-24 00:30:00.0","14","18","0","0","45","0","0","0"
"1998-01-24 00:40:00.0","15","21","0","0","47","0","0","0"
"1998-01-24 00:50:00.0","15","5","0","0","34","0","0","0"
"1998-01-24 01:00:00.0","14","13","0","0","39","0","0","0"
"1998-01-24 01:10:00.0","14","20","0","0","46","0","0","0"
"1998-01-24 01:20:00.0","14","16","0","0","42","0","0","0"
"1998-01-24 01:30:00.0","15","3","0","0","31","0","0","0"
"1998-01-24 01:40:00.0","11","20","0","0","44","0","0","0"
"1998-01-24 01:50:00.0","0","21","0","0","34","0","0","0"
"1998-01-24 02:00:00.0","0","3","0","0","19","0","0","0"
"1998-01-24 02:10:00.0","0","16","0","0","30","0","0","0"
"1998-01-24 02:20:00.0","15","21","0","0","50","0","0","0"
"1998-01-24 02:30:00.0","16","8","0","0","36","0","0","0"
"1998-01-24 02:40:00.0","15","11","0","0","39","0","0","0"
"1998-01-24 02:50:00.0","14","21","0","0","48","0","0","0"
"1998-01-24 03:00:00.0","15","12","0","0","40","0","0","0"
"1998-01-24 03:10:00.0","15","7","0","0","35","0","0","0"
"1998-01-24 03:20:00.0","14","21","0","0","48","0","0","0"
"1998-01-24 03:30:00.0","15","15","0","0","42","0","0","0"
"1998-01-24 03:40:00.0","14","5","0","0","33","0","0","0"
"1998-01-24 03:50:00.0","14","21","0","0","49","0","0","0"
"1998-01-24 04:00:00.0","15","18","0","0","45","0","0","0"
"1998-01-24 04:10:00.0","11","3","0","0","30","0","0","0"
"1998-01-24 04:20:00.0","0","20","0","0","35","0","0","0"
"1998-01-24 04:30:00.0","0","20","0","0","34","0","0","0"
"1998-01-24 04:40:00.0","0","4","0","0","19","0","0","0"
"1998-01-24 04:50:00.0","16","18","0","0","47","0","0","0"
"1998-01-24 05:00:00.0","15","21","0","0","49","0","0","0"
"1998-01-24 05:10:00.0","15","4","0","0","33","0","0","0"
"1998-01-24 05:20:00.0","15","16","0","0","44","0","0","0"
"1998-01-24 05:30:00.0","15","21","0","0","49","0","0","0"
"1998-01-24 05:40:00.0","15","6","0","0","35","0","0","0"
"1998-01-24 05:50:00.0","14","15","0","0","43","0","0","0"
