"Time","Electric Cooker (hot plate+oven) ()","Fridge freezer (267l/48l)","Microwave oven (1,2kW)","Non halogen lamp 1 (0,5kW)","Site consumption ()","Total site light consumption ()","TV (70cm)","TV ()","Vertical freezer (288l)","Washing machine (800rpm)"
"1998-01-26 16:00:00.0","0","2","0","0","69","4","14","0","21","0"
"1998-01-26 16:10:00.0","0","24","0","0","75","10","13","0","0","0"
"1998-01-26 16:20:00.0","0","18","0","0","66","5","13","0","0","0"
"1998-01-26 16:30:00.0","0","2","0","0","66","11","13","11","0","0"
"1998-01-26 16:40:00.0","0","2","36","0","137","27","13","12","21","0"
"1998-01-26 16:50:00.0","0","2","0","0","86","26","14","12","1","0"
"1998-01-26 17:00:00.0","0","22","0","0","109","35","14","12","0","0"
"1998-01-26 17:10:00.0","0","20","0","0","111","32","13","13","2","0"
"1998-01-26 17:20:00.0","0","2","0","0","105","28","12","12","19","0"
"1998-01-26 17:30:00.0","0","2","10","0","72","17","13","0","0","0"
"1998-01-26 17:40:00.0","331","2","7","0","414","23","13","0","1","0"
"1998-01-26 17:50:00.0","330","16","0","0","446","36","14","0","21","0"
"1998-01-26 18:00:00.0","254","24","0","0","371","49","15","3","0","0"
"1998-01-26 18:10:00.0","245","4","0","0","359","54","13","9","10","0"
"1998-01-26 18:20:00.0","195","2","0","0","307","55","14","0","13","0"
"1998-01-26 18:30:00.0","153","2","0","0","253","38","14","12","0","0"
"1998-01-26 18:40:00.0","229","10","0","0","349","46","15","12","7","0"
"1998-01-26 18:50:00.0","205","25","0","0","354","53","15","13","16","0"
"1998-01-26 19:00:00.0","261","15","0","0","371","49","14","4","0","0"
"1998-01-26 19:10:00.0","172","2","0","0","277","48","15","9","0","0"
"1998-01-26 19:20:00.0","274","2","0","0","382","38","14","6","16","0"
"1998-01-26 19:30:00.0","211","16","0","0","306","29","14","0","7","0"
"1998-01-26 19:40:00.0","234","24","0","0","332","41","12","0","0","0"
"1998-01-26 19:50:00.0","203","23","0","0","331","61","15","0","0","0"
"1998-01-26 20:00:00.0","179","10","0","0","322","64","14","0","23","0"
"1998-01-26 20:10:00.0","222","2","0","0","324","60","13","3","0","0"
"1998-01-26 20:20:00.0","2","2","0","0","111","60","14","12","0","0"
"1998-01-26 20:30:00.0","3","14","0","0","136","67","15","11","5","0"
"1998-01-26 20:40:00.0","3","24","0","0","125","52","13","0","17","0"
"1998-01-26 20:50:00.0","0","23","0","0","207","30","13","0","0","0"
"1998-01-26 21:00:00.0","0","2","0","0","71","23","12","0","0","0"
"1998-01-26 21:10:00.0","0","2","0","0","82","23","12","0","12","0"
"1998-01-26 21:20:00.0","0","2","0","0","80","23","13","0","10","0"
"1998-01-26 21:30:00.0","0","25","0","0","91","23","12","0","0","0"
"1998-01-26 21:40:00.0","0","23","0","0","88","22","12","0","0","0"
"1998-01-26 21:50:00.0","0","5","0","0","88","22","12","0","17","0"
"1998-01-26 22:00:00.0","0","2","0","0","73","22","12","0","5","0"
"1998-01-26 22:10:00.0","0","2","0","0","70","22","13","0","0","0"
"1998-01-26 22:20:00.0","0","20","0","0","85","22","12","0","0","0"
"1998-01-26 22:30:00.0","0","24","0","0","106","22","12","0","21","0"
"1998-01-26 22:40:00.0","0","7","0","0","75","22","13","0","0","0"
"1998-01-26 22:50:00.0","0","1","0","0","55","9","13","0","0","0"
"1998-01-26 23:00:00.0","0","2","0","0","53","7","13","0","0","0"
"1998-01-26 23:10:00.0","0","16","0","0","82","6","12","0","21","0"
"1998-01-26 23:20:00.0","0","24","0","0","70","6","13","0","0","0"
"1998-01-26 23:30:00.0","0","10","0","0","58","6","12","0","0","0"
"1998-01-26 23:40:00.0","0","2","0","0","56","8","14","0","4","0"
"1998-01-26 23:50:00.0","0","2","0","0","77","22","13","0","17","0"
"1998-01-27 00:00:00.0","0","10","0","0","62","10","13","0","0","0"
"1998-01-27 00:10:00.0","0","24","0","0","40","0","1","0","0","0"
"1998-01-27 00:20:00.0","0","12","0","0","36","0","0","0","7","0"
"1998-01-27 00:30:00.0","0","2","0","0","31","0","0","0","14","0"
"1998-01-27 00:40:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-27 00:50:00.0","0","6","0","0","23","0","0","0","0","0"
"1998-01-27 01:00:00.0","0","25","0","0","62","5","8","0","9","0"
"1998-01-27 01:10:00.0","0","12","0","0","59","5","13","0","12","0"
"1998-01-27 01:20:00.0","0","3","0","0","38","6","13","0","0","0"
"1998-01-27 01:30:00.0","0","1","0","0","37","6","12","0","0","0"
"1998-01-27 01:40:00.0","0","8","0","0","53","6","13","0","10","0"
"1998-01-27 01:50:00.0","0","25","0","0","68","5","12","0","10","0"
"1998-01-27 02:00:00.0","0","9","0","0","44","6","13","0","0","0"
"1998-01-27 02:10:00.0","0","2","0","0","34","4","9","0","0","0"
"1998-01-27 02:20:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-27 02:30:00.0","0","6","0","0","40","0","0","0","19","0"
"1998-01-27 02:40:00.0","0","25","0","0","40","0","0","0","0","0"
"1998-01-27 02:50:00.0","0","11","0","0","27","0","0","0","0","0"
"1998-01-27 03:00:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-27 03:10:00.0","0","2","0","0","20","0","0","0","0","0"
"1998-01-27 03:20:00.0","0","2","0","0","39","0","0","0","22","0"
"1998-01-27 03:30:00.0","0","25","0","0","40","0","0","0","0","0"
"1998-01-27 03:40:00.0","0","14","0","0","31","0","0","0","0","0"
"1998-01-27 03:50:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-27 04:00:00.0","0","2","19","0","69","19","0","0","12","0"
"1998-01-27 04:10:00.0","0","2","27","0","71","16","0","0","9","0"
"1998-01-27 04:20:00.0","0","24","0","0","65","25","0","0","0","0"
"1998-01-27 04:30:00.0","0","14","0","0","70","34","0","0","0","0"
"1998-01-27 04:40:00.0","0","2","0","0","46","12","0","0","0","0"
"1998-01-27 04:50:00.0","0","2","0","0","63","5","12","0","12","0"
"1998-01-27 05:00:00.0","0","2","0","0","42","3","5","0","8","0"
"1998-01-27 05:10:00.0","0","19","0","0","34","0","0","0","0","0"
"1998-01-27 05:20:00.0","0","20","0","0","36","0","0","0","0","0"
"1998-01-27 05:30:00.0","0","2","0","0","19","0","0","0","0","0"
