"Time","Clothes drier (without condenser) ()","Dish washer (12 place setting)","Microwave oven ()","Site consumption ()","Total site light consumption ()","Washing machine ()","Water heater ()"
"1998-01-26 19:20:00.0","0","0","0","146","98","0","0"
"1998-01-26 19:30:00.0","0","0","0","146","93","0","0"
"1998-01-26 19:40:00.0","0","0","0","112","47","0","0"
"1998-01-26 19:50:00.0","0","0","0","71","24","0","0"
"1998-01-26 20:00:00.0","0","0","0","55","9","0","0"
"1998-01-26 20:10:00.0","0","0","0","50","4","0","0"
"1998-01-26 20:20:00.0","0","0","0","45","8","0","0"
"1998-01-26 20:30:00.0","0","0","0","43","11","0","0"
"1998-01-26 20:40:00.0","0","0","0","65","33","0","0"
"1998-01-26 20:50:00.0","0","0","0","79","35","0","0"
"1998-01-26 21:00:00.0","0","0","0","86","34","0","0"
"1998-01-26 21:10:00.0","0","0","0","109","33","0","0"
"1998-01-26 21:20:00.0","0","0","0","102","34","0","0"
"1998-01-26 21:30:00.0","0","0","0","95","34","0","0"
"1998-01-26 21:40:00.0","0","0","0","83","24","0","0"
"1998-01-26 21:50:00.0","0","0","0","66","16","0","0"
"1998-01-26 22:00:00.0","0","0","0","128","16","0","69"
"1998-01-26 22:10:00.0","0","0","0","504","16","0","447"
"1998-01-26 22:20:00.0","0","0","0","508","16","0","450"
"1998-01-26 22:30:00.0","0","0","0","507","16","0","449"
"1998-01-26 22:40:00.0","0","0","0","504","16","0","450"
"1998-01-26 22:50:00.0","0","0","0","522","15","0","452"
"1998-01-26 23:00:00.0","0","0","0","520","16","0","451"
"1998-01-26 23:10:00.0","0","0","0","512","16","0","454"
"1998-01-26 23:20:00.0","0","0","0","512","16","0","455"
"1998-01-26 23:30:00.0","0","0","0","515","16","0","456"
"1998-01-26 23:40:00.0","0","0","0","540","23","0","458"
"1998-01-26 23:50:00.0","0","0","0","428","16","0","353"
"1998-01-27 00:00:00.0","0","0","0","76","19","0","0"
"1998-01-27 00:10:00.0","0","0","0","259","10","0","194"
"1998-01-27 00:20:00.0","0","0","0","438","0","0","401"
"1998-01-27 00:30:00.0","0","0","0","40","0","0","0"
"1998-01-27 00:40:00.0","0","0","0","33","0","0","0"
"1998-01-27 00:50:00.0","0","0","0","24","0","0","0"
"1998-01-27 01:00:00.0","0","0","0","76","0","0","52"
"1998-01-27 01:10:00.0","0","0","0","71","0","0","46"
"1998-01-27 01:20:00.0","0","0","0","25","0","0","0"
"1998-01-27 01:30:00.0","0","0","0","138","0","0","114"
"1998-01-27 01:40:00.0","0","0","0","25","0","0","0"
"1998-01-27 01:50:00.0","0","0","0","24","0","0","0"
"1998-01-27 02:00:00.0","0","0","0","24","0","0","0"
"1998-01-27 02:10:00.0","0","0","0","33","0","0","0"
"1998-01-27 02:20:00.0","0","0","0","55","0","0","0"
"1998-01-27 02:30:00.0","0","0","0","109","0","0","55"
"1998-01-27 02:40:00.0","0","0","0","40","0","0","0"
"1998-01-27 02:50:00.0","0","0","0","255","0","0","215"
"1998-01-27 03:00:00.0","0","0","0","76","0","0","48"
"1998-01-27 03:10:00.0","0","0","0","25","0","0","0"
"1998-01-27 03:20:00.0","0","0","0","24","0","0","0"
"1998-01-27 03:30:00.0","0","0","0","25","0","0","0"
"1998-01-27 03:40:00.0","0","0","0","24","0","0","0"
"1998-01-27 03:50:00.0","0","0","0","26","0","0","0"
"1998-01-27 04:00:00.0","0","0","0","26","0","0","0"
"1998-01-27 04:10:00.0","0","0","0","41","0","0","0"
"1998-01-27 04:20:00.0","0","0","0","31","0","0","0"
"1998-01-27 04:30:00.0","0","0","0","25","0","0","0"
"1998-01-27 04:40:00.0","0","0","0","25","0","0","0"
"1998-01-27 04:50:00.0","0","0","0","43","0","0","0"
"1998-01-27 05:00:00.0","0","0","0","42","0","0","0"
"1998-01-27 05:10:00.0","0","0","0","42","0","0","0"
"1998-01-27 05:20:00.0","0","0","0","40","0","0","0"
"1998-01-27 05:30:00.0","0","0","0","36","0","0","0"
"1998-01-27 05:40:00.0","0","0","0","30","0","0","0"
"1998-01-27 05:50:00.0","0","0","0","40","0","0","0"
"1998-01-27 06:00:00.0","0","0","0","28","0","0","0"
"1998-01-27 06:10:00.0","0","0","0","24","0","0","0"
"1998-01-27 06:20:00.0","0","0","0","24","0","0","0"
"1998-01-27 06:30:00.0","0","0","0","24","0","0","0"
"1998-01-27 06:40:00.0","0","0","0","24","0","0","0"
