"Time","Clothes drier (with condenser) ()","Dish washer (12 place setting)","Electric oven ()","Fridge freezer (Kitchen, 182l/48l)","Hot plate (3 gas, 1elec)","Microwave oven (1,35kW)","Site consumption ()","Total site light consumption ()","TV (51cm)","Vertical freezer (Kitchen, 265l)","Washing machine ()"
"1998-01-28 12:20:00.0","0","0","0","0","0","0","36","14","8","0","0"
"1998-01-28 12:30:00.0","0","0","0","0","0","0","64","21","12","15","0"
"1998-01-28 12:40:00.0","0","0","0","0","0","42","92","6","12","20","0"
"1998-01-28 12:50:00.0","0","0","0","0","0","1","41","0","12","14","0"
"1998-01-28 13:00:00.0","0","0","0","0","0","0","29","0","13","0","0"
"1998-01-28 13:10:00.0","0","0","0","22","0","0","72","4","10","16","0"
"1998-01-28 13:20:00.0","0","0","0","23","0","0","65","0","11","19","0"
"1998-01-28 13:30:00.0","0","0","0","22","0","0","39","1","1","2","0"
"1998-01-28 13:40:00.0","0","0","0","20","0","0","38","0","0","4","0"
"1998-01-28 13:50:00.0","0","0","0","19","0","0","50","0","0","20","0"
"1998-01-28 14:00:00.0","0","0","0","19","0","0","39","0","0","9","0"
"1998-01-28 14:10:00.0","0","0","0","18","0","0","32","0","0","0","0"
"1998-01-28 14:20:00.0","0","4","0","19","0","0","74","3","0","19","0"
"1998-01-28 14:30:00.0","0","17","0","18","0","0","69","8","0","13","0"
"1998-01-28 14:40:00.0","0","1","0","18","0","0","32","0","0","0","0"
"1998-01-28 14:50:00.0","0","0","0","18","0","0","44","0","0","13","0"
"1998-01-28 15:00:00.0","0","0","0","18","0","0","51","4","0","18","0"
"1998-01-28 15:10:00.0","0","0","0","18","0","0","34","2","0","0","0"
"1998-01-28 15:20:00.0","0","0","0","18","0","0","39","0","0","8","0"
"1998-01-28 15:30:00.0","0","0","0","4","0","0","41","3","0","20","0"
"1998-01-28 15:40:00.0","0","0","0","0","0","0","21","3","0","1","0"
"1998-01-28 15:50:00.0","0","0","0","0","0","0","22","0","0","5","0"
"1998-01-28 16:00:00.0","0","105","0","0","0","0","137","0","0","20","0"
"1998-01-28 16:10:00.0","0","481","0","0","0","0","506","1","0","3","0"
"1998-01-28 16:20:00.0","0","279","0","0","0","0","301","0","0","1","0"
"1998-01-28 16:30:00.0","0","26","0","0","0","0","64","5","0","20","0"
"1998-01-28 16:40:00.0","0","20","0","0","0","0","50","8","0","7","0"
"1998-01-28 16:50:00.0","0","376","0","0","0","26","422","2","0","0","0"
"1998-01-28 17:00:00.0","0","276","0","0","0","0","311","0","0","19","0"
"1998-01-28 17:10:00.0","0","1","0","0","0","0","54","12","11","11","4"
"1998-01-28 17:20:00.0","0","0","0","0","0","0","376","4","11","0","345"
"1998-01-28 17:30:00.0","0","0","0","0","0","0","131","10","13","16","83"
"1998-01-28 17:40:00.0","0","0","0","0","0","0","95","42","12","16","19"
"1998-01-28 17:50:00.0","0","0","0","0","0","0","133","44","9","0","16"
"1998-01-28 18:00:00.0","0","0","0","0","0","0","179","38","0","10","17"
"1998-01-28 18:10:00.0","0","0","0","0","0","0","75","26","0","20","11"
"1998-01-28 18:20:00.0","0","0","0","0","0","0","46","22","0","0","9"
"1998-01-28 18:30:00.0","0","0","0","0","0","0","55","23","0","6","14"
"1998-01-28 18:40:00.0","0","0","0","0","0","0","93","34","0","20","28"
"1998-01-28 18:50:00.0","0","0","0","25","0","0","87","29","12","4","3"
"1998-01-28 19:00:00.0","0","0","0","24","0","0","66","22","5","2","0"
"1998-01-28 19:10:00.0","0","0","0","22","0","43","106","12","0","20","0"
"1998-01-28 19:20:00.0","0","0","0","20","0","23","66","3","0","9","0"
"1998-01-28 19:30:00.0","0","0","0","21","0","0","40","7","0","0","0"
"1998-01-28 19:40:00.0","0","0","0","19","0","0","65","15","0","18","0"
"1998-01-28 19:50:00.0","0","0","0","20","0","0","65","21","0","15","0"
"1998-01-28 20:00:00.0","0","0","0","19","0","0","60","24","0","0","0"
"1998-01-28 20:10:00.0","0","0","0","18","0","0","99","24","0","11","0"
"1998-01-28 20:20:00.0","0","0","0","19","0","0","104","33","3","20","0"
"1998-01-28 20:30:00.0","0","0","0","19","0","0","89","33","9","1","0"
"1998-01-28 20:40:00.0","0","0","0","19","0","0","61","11","8","5","0"
"1998-01-28 20:50:00.0","0","0","0","18","0","0","73","8","12","21","0"
"1998-01-28 21:00:00.0","0","0","0","19","0","0","59","6","12","6","0"
"1998-01-28 21:10:00.0","0","0","0","18","0","0","59","11","11","0","0"
"1998-01-28 21:20:00.0","0","0","0","18","0","0","75","9","13","21","0"
"1998-01-28 21:30:00.0","0","0","0","18","0","0","69","11","12","12","0"
"1998-01-28 21:40:00.0","0","0","0","17","0","0","55","8","11","0","0"
"1998-01-28 21:50:00.0","0","0","0","18","0","19","85","8","12","13","0"
"1998-01-28 22:00:00.0","0","22","0","18","0","34","123","7","11","20","0"
"1998-01-28 22:10:00.0","0","0","0","18","0","0","62","7","12","10","0"
"1998-01-28 22:20:00.0","0","0","0","18","0","0","69","19","12","0","0"
"1998-01-28 22:30:00.0","0","0","0","17","0","0","75","8","13","19","0"
"1998-01-28 22:40:00.0","0","0","0","18","0","0","65","5","12","14","0"
"1998-01-28 22:50:00.0","0","0","0","18","0","0","52","5","12","0","0"
"1998-01-28 23:00:00.0","0","0","0","17","0","0","63","5","13","13","0"
"1998-01-28 23:10:00.0","0","0","0","7","0","0","59","5","12","19","0"
"1998-01-28 23:20:00.0","0","0","0","0","0","0","37","5","12","1","0"
"1998-01-28 23:30:00.0","0","0","0","0","0","0","43","6","13","7","0"
"1998-01-28 23:40:00.0","0","0","0","0","0","0","53","5","11","20","0"
"1998-01-28 23:50:00.0","0","0","0","0","0","0","42","9","11","5","0"
"1998-01-29 00:00:00.0","0","0","0","6","0","0","42","5","12","0","0"
"1998-01-29 00:10:00.0","0","0","0","22","0","0","97","12","12","19","0"
"1998-01-29 00:20:00.0","0","0","0","22","0","0","94","12","12","12","0"
"1998-01-29 00:30:00.0","0","0","0","20","0","0","61","6","13","0","0"
"1998-01-29 00:40:00.0","0","0","0","20","0","0","67","6","13","14","0"
"1998-01-29 00:50:00.0","0","0","0","20","0","0","67","2","12","17","0"
"1998-01-29 01:00:00.0","0","0","0","20","0","0","52","3","13","0","0"
"1998-01-29 01:10:00.0","0","0","0","19","0","0","58","2","13","9","0"
