"Time","Dish washer (12 place setting)","Electric Cooker (hot plate+oven) ()","Fridge freezer (Kitchen, 190l/55l)","Halogen lamp 1 (0,5kW)","Microwave oven (Fonte, 1,35kW)","Site consumption ()","Total site light consumption ()","TV ()","Vertical freezer (Kitchen, 120l)","Washing machine ()"
"1998-01-28 19:50:00.0","0","0","12","0","0","193","112","18","23","0"
"1998-01-28 20:00:00.0","0","0","0","0","48","89","25","4","0","0"
"1998-01-28 20:10:00.0","0","0","0","0","99","132","15","0","7","0"
"1998-01-28 20:20:00.0","0","0","0","0","24","64","13","0","18","0"
"1998-01-28 20:30:00.0","0","0","10","0","0","43","14","0","10","0"
"1998-01-28 20:40:00.0","0","0","23","0","0","43","14","0","0","0"
"1998-01-28 20:50:00.0","0","0","22","0","0","57","20","0","7","0"
"1998-01-28 21:00:00.0","0","0","22","0","0","69","14","9","18","0"
"1998-01-28 21:10:00.0","0","0","14","0","0","42","2","8","12","0"
"1998-01-28 21:20:00.0","0","0","0","0","0","11","1","0","0","0"
"1998-01-28 21:30:00.0","0","0","0","0","0","16","0","0","6","0"
"1998-01-28 21:40:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-28 21:50:00.0","0","0","14","0","0","35","0","0","14","0"
"1998-01-28 22:00:00.0","0","0","22","0","0","30","0","0","0","0"
"1998-01-28 22:10:00.0","0","0","22","0","0","33","0","0","3","0"
"1998-01-28 22:20:00.0","0","0","10","0","0","34","0","0","18","0"
"1998-01-28 22:30:00.0","0","0","0","0","0","25","0","0","16","0"
"1998-01-28 22:40:00.0","0","0","0","0","0","9","0","0","0","0"
"1998-01-28 22:50:00.0","0","0","0","0","0","11","0","0","0","0"
"1998-01-28 23:00:00.0","0","0","6","0","0","33","0","0","19","0"
"1998-01-28 23:10:00.0","0","0","23","0","0","46","0","0","17","0"
"1998-01-28 23:20:00.0","0","0","22","0","0","32","0","0","2","0"
"1998-01-28 23:30:00.0","0","0","15","0","0","23","0","0","0","0"
"1998-01-28 23:40:00.0","0","0","0","0","0","23","0","0","15","0"
"1998-01-28 23:50:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-29 00:00:00.0","0","0","0","0","0","14","0","0","4","0"
"1998-01-29 00:10:00.0","0","0","0","0","0","10","0","0","0","0"
"1998-01-29 00:20:00.0","0","0","14","0","0","35","0","0","13","0"
"1998-01-29 00:30:00.0","0","0","23","0","0","46","0","0","17","0"
"1998-01-29 00:40:00.0","0","0","22","0","0","37","0","0","8","0"
"1998-01-29 00:50:00.0","0","0","8","0","0","17","0","0","0","0"
"1998-01-29 01:00:00.0","0","0","0","0","0","18","0","0","9","0"
"1998-01-29 01:10:00.0","0","0","0","0","0","26","0","0","18","0"
"1998-01-29 01:20:00.0","0","0","0","0","0","19","0","0","10","0"
"1998-01-29 01:30:00.0","0","0","0","0","0","9","0","0","0","0"
"1998-01-29 01:40:00.0","0","0","14","0","0","30","0","0","7","0"
"1998-01-29 01:50:00.0","0","0","24","0","0","47","0","0","18","0"
"1998-01-29 02:00:00.0","0","0","23","0","0","41","0","0","12","0"
"1998-01-29 02:10:00.0","0","0","5","0","0","14","0","0","0","0"
