"Time","Electric Cooker (hot plate+oven) ()","Fridge freezer (Kitchen, 217l/48l)","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Non halogen lamp 3 ()","Non halogen lamp 4 ()","Site consumption ()","Total site light consumption ()","TV (51cm)","Washing machine ()"
"1998-01-29 12:00:00.0","106","8","0","0","0","0","143","11","0","0"
"1998-01-29 12:10:00.0","0","26","0","0","0","0","37","2","0","0"
"1998-01-29 12:20:00.0","0","25","0","0","0","0","42","2","0","0"
"1998-01-29 12:30:00.0","0","5","0","0","0","0","79","0","6","0"
"1998-01-29 12:40:00.0","0","0","0","0","0","0","24","1","11","0"
"1998-01-29 12:50:00.0","0","23","0","0","0","0","44","0","11","0"
"1998-01-29 13:00:00.0","0","16","0","0","0","0","36","0","11","0"
"1998-01-29 13:10:00.0","0","0","0","0","0","0","22","0","12","0"
"1998-01-29 13:20:00.0","0","4","0","0","0","0","27","0","11","0"
"1998-01-29 13:30:00.0","0","26","0","0","0","0","43","0","9","0"
"1998-01-29 13:40:00.0","0","10","0","0","0","0","20","0","1","0"
"1998-01-29 13:50:00.0","0","0","0","0","0","0","12","0","0","0"
"1998-01-29 14:00:00.0","0","9","0","0","0","0","19","0","0","0"
"1998-01-29 14:10:00.0","0","26","0","0","0","0","36","2","0","0"
"1998-01-29 14:20:00.0","0","5","0","0","0","0","15","0","0","0"
"1998-01-29 14:30:00.0","0","0","0","0","0","0","12","0","0","0"
"1998-01-29 14:40:00.0","0","13","0","0","0","0","23","0","0","0"
"1998-01-29 14:50:00.0","0","24","0","0","0","0","32","0","0","0"
"1998-01-29 15:00:00.0","0","0","0","0","0","0","12","0","0","0"
"1998-01-29 15:10:00.0","0","0","0","0","0","0","11","0","0","0"
"1998-01-29 15:20:00.0","0","17","0","0","0","0","27","0","0","0"
"1998-01-29 15:30:00.0","0","18","0","0","0","0","27","0","0","0"
"1998-01-29 15:40:00.0","0","0","0","0","0","0","11","0","0","0"
"1998-01-29 15:50:00.0","0","0","0","0","0","0","11","0","0","0"
"1998-01-29 16:00:00.0","0","21","0","0","0","0","30","0","0","0"
"1998-01-29 16:10:00.0","0","14","0","0","0","0","24","0","0","0"
"1998-01-29 16:20:00.0","0","0","0","0","0","0","11","0","0","0"
"1998-01-29 16:30:00.0","0","0","0","0","0","0","12","0","0","0"
"1998-01-29 16:40:00.0","0","21","0","0","0","0","30","0","0","0"
"1998-01-29 16:50:00.0","0","13","0","0","0","0","29","6","0","0"
"1998-01-29 17:00:00.0","0","0","0","0","0","0","23","12","0","0"
"1998-01-29 17:10:00.0","0","0","0","0","0","0","52","11","0","0"
"1998-01-29 17:20:00.0","0","26","0","0","0","0","73","0","0","0"
"1998-01-29 17:30:00.0","0","9","0","0","0","0","20","0","0","0"
"1998-01-29 17:40:00.0","0","0","0","0","0","0","11","0","0","0"
"1998-01-29 17:50:00.0","0","0","0","0","0","0","12","0","0","0"
"1998-01-29 18:00:00.0","0","21","0","0","0","0","96","14","0","0"
"1998-01-29 18:10:00.0","0","16","0","0","0","0","91","25","0","42"
"1998-01-29 18:20:00.0","144","0","0","0","0","0","453","29","0","267"
"1998-01-29 18:30:00.0","403","14","0","0","0","0","530","43","0","61"
"1998-01-29 18:40:00.0","411","22","0","0","0","0","541","42","0","61"
"1998-01-29 18:50:00.0","359","1","0","0","1","0","482","46","0","69"
"1998-01-29 19:00:00.0","88","0","0","0","4","0","210","46","0","64"
"1998-01-29 19:10:00.0","113","16","0","0","0","0","196","53","0","6"
"1998-01-29 19:20:00.0","91","15","0","0","0","0","170","56","0","0"
"1998-01-29 19:30:00.0","1","0","0","0","0","0","57","46","0","0"
"1998-01-29 19:40:00.0","0","3","0","0","0","0","40","26","0","0"
"1998-01-29 19:50:00.0","0","25","0","0","0","0","57","25","0","0"
"1998-01-29 20:00:00.0","0","12","0","0","0","0","56","26","0","0"
"1998-01-29 20:10:00.0","0","0","0","0","0","0","105","26","0","0"
"1998-01-29 20:20:00.0","0","22","0","0","0","0","57","16","12","0"
"1998-01-29 20:30:00.0","0","9","0","0","0","0","49","18","12","0"
"1998-01-29 20:40:00.0","0","0","0","0","0","0","39","16","13","0"
"1998-01-29 20:50:00.0","0","11","0","0","0","0","48","16","13","0"
"1998-01-29 21:00:00.0","0","20","0","0","0","0","57","16","11","0"
"1998-01-29 21:10:00.0","0","0","0","0","0","0","39","16","11","0"
"1998-01-29 21:20:00.0","0","0","0","0","0","0","39","16","12","0"
"1998-01-29 21:30:00.0","0","19","0","0","0","0","57","17","11","0"
"1998-01-29 21:40:00.0","0","12","0","0","0","0","49","16","12","0"
"1998-01-29 21:50:00.0","0","0","0","0","0","0","41","16","12","0"
"1998-01-29 22:00:00.0","0","0","0","0","0","0","39","16","11","0"
"1998-01-29 22:10:00.0","0","26","0","0","0","0","61","16","11","0"
"1998-01-29 22:20:00.0","0","6","0","0","0","0","44","16","12","0"
"1998-01-29 22:30:00.0","0","0","1","0","0","1","44","19","8","0"
"1998-01-29 22:40:00.0","0","2","9","0","0","12","60","26","1","0"
"1998-01-29 22:50:00.0","0","26","10","0","0","11","57","3","0","0"
"1998-01-29 23:00:00.0","0","3","9","0","0","3","24","0","0","0"
"1998-01-29 23:10:00.0","0","0","7","0","0","0","18","0","0","0"
"1998-01-29 23:20:00.0","0","1","0","0","0","0","11","0","0","0"
"1998-01-29 23:30:00.0","0","26","0","0","0","0","33","0","0","0"
"1998-01-29 23:40:00.0","0","4","0","0","0","0","13","0","0","0"
"1998-01-29 23:50:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 00:00:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 00:10:00.0","0","24","0","0","0","0","31","0","0","0"
"1998-01-30 00:20:00.0","0","7","0","0","0","0","16","0","0","0"
"1998-01-30 00:30:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 00:40:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 00:50:00.0","0","18","0","0","0","0","26","0","0","0"
"1998-01-30 01:00:00.0","0","14","0","0","0","0","22","0","0","0"
"1998-01-30 01:10:00.0","0","0","0","0","0","0","9","0","0","0"
"1998-01-30 01:20:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 01:30:00.0","0","5","0","0","0","0","15","0","0","0"
"1998-01-30 01:40:00.0","0","26","0","0","0","0","33","0","0","0"
"1998-01-30 01:50:00.0","0","1","0","0","0","0","10","0","0","0"
"1998-01-30 02:00:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 02:10:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 02:20:00.0","0","14","0","0","0","0","22","0","0","0"
"1998-01-30 02:30:00.0","0","19","0","0","0","0","27","0","0","0"
"1998-01-30 02:40:00.0","0","0","5","0","0","0","16","0","0","0"
"1998-01-30 02:50:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 03:00:00.0","0","0","0","0","0","0","9","0","0","0"
"1998-01-30 03:10:00.0","0","19","0","0","0","0","27","0","0","0"
"1998-01-30 03:20:00.0","0","15","0","0","0","0","23","0","0","0"
"1998-01-30 03:30:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 03:40:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 03:50:00.0","0","0","0","0","0","0","9","0","0","0"
"1998-01-30 04:00:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 04:10:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 04:20:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 04:30:00.0","0","22","0","0","0","0","30","0","0","0"
"1998-01-30 04:40:00.0","0","20","0","0","0","0","27","0","0","0"
"1998-01-30 04:50:00.0","0","1","0","0","0","0","10","0","0","0"
"1998-01-30 05:00:00.0","0","0","0","0","0","0","10","0","0","0"
"1998-01-30 05:10:00.0","0","0","0","0","0","0","9","0","0","0"
