"Time","Electric Cooker (hot plate+oven) (1,5kW)","Fridge freezer (Kitchen, 325l/75l)","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Vertical freezer (Storeroom, 145l)","Washing machine ()"
"1998-01-29 16:30:00.0","0","29","0","0","83","49","15","32","0"
"1998-01-29 16:40:00.0","0","3","0","0","78","30","0","17","0"
"1998-01-29 16:50:00.0","0","4","0","0","57","18","0","7","0"
"1998-01-29 17:00:00.0","0","4","0","0","44","10","0","0","0"
"1998-01-29 17:10:00.0","0","21","0","0","58","9","0","0","0"
"1998-01-29 17:20:00.0","0","21","0","0","57","10","0","0","0"
"1998-01-29 17:30:00.0","0","19","0","0","68","10","0","13","0"
"1998-01-29 17:40:00.0","0","20","0","0","70","10","0","19","0"
"1998-01-29 17:50:00.0","0","18","0","0","99","27","11","17","0"
"1998-01-29 18:00:00.0","0","19","0","0","104","30","15","17","0"
"1998-01-29 18:10:00.0","0","8","0","0","95","29","16","17","0"
"1998-01-29 18:20:00.0","0","4","0","0","89","29","15","17","0"
"1998-01-29 18:30:00.0","0","3","0","0","88","28","13","16","0"
"1998-01-29 18:40:00.0","0","3","0","0","84","40","0","14","0"
"1998-01-29 18:50:00.0","0","4","0","0","77","45","0","1","0"
"1998-01-29 19:00:00.0","0","3","0","0","77","44","0","0","0"
"1998-01-29 19:10:00.0","0","22","0","0","87","55","0","0","0"
"1998-01-29 19:20:00.0","0","21","0","0","85","55","0","0","0"
"1998-01-29 19:30:00.0","0","21","0","0","97","56","0","13","0"
"1998-01-29 19:40:00.0","0","19","0","0","99","55","0","19","0"
"1998-01-29 19:50:00.0","0","20","0","0","99","47","0","18","0"
"1998-01-29 20:00:00.0","0","19","0","0","94","32","0","17","0"
"1998-01-29 20:10:00.0","0","19","0","0","70","9","0","17","0"
"1998-01-29 20:20:00.0","0","19","0","0","73","14","0","16","0"
"1998-01-29 20:30:00.0","0","18","0","0","76","21","0","17","0"
"1998-01-29 20:40:00.0","0","19","0","0","61","19","0","1","0"
"1998-01-29 20:50:00.0","0","15","0","0","60","22","0","0","0"
"1998-01-29 21:00:00.0","0","3","0","0","61","24","7","0","0"
"1998-01-29 21:10:00.0","0","4","0","0","65","19","15","0","0"
"1998-01-29 21:20:00.0","0","3","0","0","72","20","15","9","0"
"1998-01-29 21:30:00.0","0","3","0","0","80","19","15","19","0"
"1998-01-29 21:40:00.0","0","4","0","0","91","31","15","18","0"
"1998-01-29 21:50:00.0","0","20","0","0","105","33","15","17","0"
"1998-01-29 22:00:00.0","0","21","0","0","101","28","14","17","0"
"1998-01-29 22:10:00.0","0","20","0","0","99","29","14","17","0"
"1998-01-29 22:20:00.0","0","19","0","0","98","29","14","16","0"
"1998-01-29 22:30:00.0","0","19","0","0","70","13","15","0","0"
"1998-01-29 22:40:00.0","0","19","0","0","117","10","15","0","0"
"1998-01-29 22:50:00.0","0","19","0","0","65","10","15","0","0"
"1998-01-29 23:00:00.0","0","18","0","0","61","8","11","0","0"
"1998-01-29 23:10:00.0","0","18","0","0","49","1","0","9","0"
"1998-01-29 23:20:00.0","0","18","0","0","42","1","0","18","0"
"1998-01-29 23:30:00.0","0","14","0","0","32","0","0","18","0"
"1998-01-29 23:40:00.0","0","3","0","0","23","0","0","17","0"
"1998-01-29 23:50:00.0","0","3","0","0","23","0","0","17","0"
"1998-01-30 00:00:00.0","0","4","0","0","23","0","0","17","0"
"1998-01-30 00:10:00.0","0","3","0","0","22","0","0","15","0"
"1998-01-30 00:20:00.0","0","15","0","0","12","0","0","2","0"
"1998-01-30 00:30:00.0","0","15","0","0","12","0","0","2","0"
"1998-01-30 00:40:00.0","0","15","0","0","24","0","0","2","0"
"1998-01-30 00:50:00.0","0","15","0","0","25","0","0","2","0"
"1998-01-30 01:00:00.0","0","15","0","0","32","0","0","3","0"
"1998-01-30 01:10:00.0","0","19","0","0","38","0","0","18","0"
"1998-01-30 01:20:00.0","0","19","0","0","36","0","0","17","0"
"1998-01-30 01:30:00.0","0","18","0","0","36","0","0","17","0"
"1998-01-30 01:40:00.0","0","18","0","0","35","0","0","16","0"
"1998-01-30 01:50:00.0","0","18","0","0","34","0","0","17","0"
"1998-01-30 02:00:00.0","0","8","0","0","131","0","0","11","0"
"1998-01-30 02:10:00.0","0","3","0","0","340","0","0","0","0"
"1998-01-30 02:20:00.0","0","3","0","0","340","0","0","0","0"
"1998-01-30 02:30:00.0","0","3","0","0","338","0","0","0","0"
"1998-01-30 02:40:00.0","0","3","0","0","340","0","0","0","0"
"1998-01-30 02:50:00.0","0","3","0","0","356","0","0","16","0"
"1998-01-30 03:00:00.0","0","3","0","0","357","0","0","17","0"
"1998-01-30 03:10:00.0","0","19","0","0","369","0","0","17","0"
"1998-01-30 03:20:00.0","0","21","0","0","370","0","0","17","0"
"1998-01-30 03:30:00.0","0","20","0","0","367","0","0","16","0"
"1998-01-30 03:40:00.0","0","19","0","0","367","0","0","16","0"
"1998-01-30 03:50:00.0","0","19","0","0","155","0","0","9","0"
"1998-01-30 04:00:00.0","0","18","0","0","22","0","0","0","0"
"1998-01-30 04:10:00.0","0","18","0","0","22","0","0","0","0"
"1998-01-30 04:20:00.0","0","18","0","0","21","0","0","0","0"
"1998-01-30 04:30:00.0","0","5","0","0","11","0","0","0","0"
"1998-01-30 04:40:00.0","0","3","0","0","24","0","0","17","0"
"1998-01-30 04:50:00.0","0","3","0","0","24","0","0","17","0"
"1998-01-30 05:00:00.0","0","3","0","0","23","0","0","17","0"
"1998-01-30 05:10:00.0","0","3","0","0","23","0","0","17","0"
"1998-01-30 05:20:00.0","0","4","0","0","22","0","0","16","0"
"1998-01-30 05:30:00.0","0","21","0","0","37","0","0","14","0"
"1998-01-30 05:40:00.0","0","21","0","0","24","0","0","0","0"
"1998-01-30 05:50:00.0","0","19","0","0","24","0","0","0","0"
"1998-01-30 06:00:00.0","0","20","0","0","23","0","0","0","0"
"1998-01-30 06:10:00.0","0","19","0","0","22","0","0","0","0"
