"Time","Fridge freezer (Kitchen, 195l/152l)","Halogen lamp 1 (0,5kW)","Microwave oven (1,1kW)","Power supply for fuel boiler ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Washing machine ()"
"1998-01-29 19:10:00.0","40","0","0","24","890","83","0","0"
"1998-01-29 19:20:00.0","16","0","0","15","409","40","0","0"
"1998-01-29 19:30:00.0","7","0","22","13","466","59","0","0"
"1998-01-29 19:40:00.0","1","0","0","18","399","19","0","0"
"1998-01-29 19:50:00.0","0","0","0","16","425","49","0","0"
"1998-01-29 20:00:00.0","5","0","0","17","281","22","0","0"
"1998-01-29 20:10:00.0","2","0","0","16","76","23","0","0"
"1998-01-29 20:20:00.0","0","0","0","12","67","13","0","0"
"1998-01-29 20:30:00.0","0","0","0","14","63","9","4","0"
"1998-01-29 20:40:00.0","5","0","0","17","70","0","18","0"
"1998-01-29 20:50:00.0","0","0","0","12","60","0","17","0"
"1998-01-29 21:00:00.0","0","0","0","13","59","0","15","0"
"1998-01-29 21:10:00.0","0","0","0","16","229","0","13","0"
"1998-01-29 21:20:00.0","6","0","20","8","411","18","13","0"
"1998-01-29 21:30:00.0","0","0","0","13","335","0","15","0"
"1998-01-29 21:40:00.0","0","0","0","10","337","0","14","0"
"1998-01-29 21:50:00.0","6","0","0","15","318","0","15","0"
"1998-01-29 22:00:00.0","25","0","0","8","325","0","14","0"
"1998-01-29 22:10:00.0","18","0","0","15","348","0","13","0"
"1998-01-29 22:20:00.0","16","0","0","11","359","0","13","0"
"1998-01-29 22:30:00.0","19","0","0","13","350","2","15","0"
"1998-01-29 22:40:00.0","21","0","0","11","53","4","0","0"
"1998-01-29 22:50:00.0","4","0","0","12","28","0","0","0"
"1998-01-29 23:00:00.0","0","0","0","16","28","0","0","0"
"1998-01-29 23:10:00.0","5","0","0","11","28","0","0","0"
"1998-01-29 23:20:00.0","0","0","0","13","25","0","0","0"
"1998-01-29 23:30:00.0","0","0","0","17","29","0","0","0"
"1998-01-29 23:40:00.0","0","0","0","8","20","0","0","0"
"1998-01-29 23:50:00.0","5","0","0","16","33","0","0","0"
"1998-01-30 00:00:00.0","1","0","0","10","23","0","0","0"
"1998-01-30 00:10:00.0","0","0","0","15","26","0","0","0"
"1998-01-30 00:20:00.0","0","0","0","16","29","0","0","0"
"1998-01-30 00:30:00.0","0","0","0","8","20","0","0","0"
"1998-01-30 00:40:00.0","5","0","0","17","34","0","0","0"
"1998-01-30 00:50:00.0","0","0","0","8","20","0","0","0"
"1998-01-30 01:00:00.0","0","0","0","16","28","0","0","0"
"1998-01-30 01:10:00.0","0","0","0","14","26","0","0","0"
"1998-01-30 01:20:00.0","4","0","0","10","25","0","0","0"
"1998-01-30 01:30:00.0","20","0","0","16","47","0","0","0"
"1998-01-30 01:40:00.0","18","0","0","8","35","0","0","0"
"1998-01-30 01:50:00.0","17","0","0","16","43","0","0","0"
"1998-01-30 02:00:00.0","16","0","0","9","36","0","0","0"
