"Time","Chest freezer (Garage, 300l)","Dish washer (12 place setting)","Electric oven (Pyrolysis, 3,1kW)","Hot plate ()","Microwave oven (1,6kW)","Site consumption ()","Total site light consumption ()","TV (70cm)","TV (36cm)","TV (36cm)","Washing machine ()"
"1998-02-05 20:30:00.0","7","0","0","0","41","357","24","0","0","0","254"
"1998-02-05 20:40:00.0","5","0","0","0","0","77","14","7","0","0","19"
"1998-02-05 20:50:00.0","2","0","0","231","0","106","9","17","0","0","42"
"1998-02-05 21:00:00.0","6","0","0","25","0","115","8","15","0","0","52"
"1998-02-05 21:10:00.0","0","0","0","308","0","106","10","15","0","0","54"
"1998-02-05 21:20:00.0","7","0","0","5","0","87","4","15","0","0","25"
"1998-02-05 21:30:00.0","6","0","0","0","0","61","6","16","0","0","0"
"1998-02-05 21:40:00.0","1","0","0","0","0","63","4","16","0","0","0"
"1998-02-05 21:50:00.0","7","0","0","0","0","70","5","15","0","0","0"
"1998-02-05 22:00:00.0","0","0","0","0","0","46","0","16","0","0","0"
"1998-02-05 22:10:00.0","6","0","0","0","0","54","1","15","0","0","0"
"1998-02-05 22:20:00.0","3","0","0","0","0","61","0","15","0","0","0"
"1998-02-05 22:30:00.0","4","0","0","0","0","52","0","16","0","0","0"
"1998-02-05 22:40:00.0","7","0","0","0","0","54","0","16","0","0","0"
"1998-02-05 22:50:00.0","0","0","0","0","0","52","0","16","0","0","0"
"1998-02-05 23:00:00.0","6","0","0","0","0","62","0","15","0","0","0"
"1998-02-05 23:10:00.0","0","0","0","0","0","43","1","15","0","0","0"
"1998-02-05 23:20:00.0","7","0","0","0","0","53","3","15","0","0","0"
"1998-02-05 23:30:00.0","2","0","0","0","0","62","6","15","0","0","0"
"1998-02-05 23:40:00.0","4","0","0","0","0","55","0","16","0","0","0"
"1998-02-05 23:50:00.0","7","0","0","0","0","54","0","15","0","0","0"
"1998-02-06 00:00:00.0","0","0","0","0","0","48","0","0","0","0","0"
"1998-02-06 00:10:00.0","6","0","0","0","0","47","1","0","0","0","0"
"1998-02-06 00:20:00.0","0","0","0","0","0","20","0","0","0","0","0"
"1998-02-06 00:30:00.0","7","0","0","0","0","259","0","0","0","0","231"
