"Time","Dish washer (12 place setting, 2,3kW)","Electric Cooker (hot plate+oven) ()","Fridge (Kitchen, 310l)","Microwave oven ()","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","TV (67cm)","TV (51cm)","Washing machine (5kg, 2,15kW)"
"1998-02-12 14:20:00.0","0","0","0","0","0","0","89","49","0","0","0"
"1998-02-12 14:30:00.0","0","0","0","0","0","0","14","5","0","0","0"
"1998-02-12 14:40:00.0","0","0","0","0","0","0","10","0","0","0","0"
"1998-02-12 14:50:00.0","0","0","0","0","0","0","9","0","0","0","0"
"1998-02-12 15:00:00.0","0","0","0","0","0","0","10","0","0","0","0"
"1998-02-12 15:10:00.0","0","0","0","0","0","0","9","0","0","0","0"
"1998-02-12 15:20:00.0","0","0","0","0","0","0","9","0","0","0","0"
"1998-02-12 15:30:00.0","0","0","0","0","0","0","10","0","0","0","0"
"1998-02-12 15:40:00.0","0","0","0","0","0","0","9","0","0","0","0"
"1998-02-12 15:50:00.0","0","0","0","0","0","0","10","0","0","0","0"
"1998-02-12 16:00:00.0","0","0","0","0","0","0","9","0","0","0","0"
"1998-02-12 16:10:00.0","0","0","0","0","0","0","23","1","10","0","0"
"1998-02-12 16:20:00.0","31","0","0","0","0","0","52","0","12","0","0"
"1998-02-12 16:30:00.0","302","0","0","0","0","0","341","9","13","0","0"
"1998-02-12 16:40:00.0","405","0","1","0","0","0","446","6","13","0","0"
"1998-02-12 16:50:00.0","404","0","0","0","0","0","445","8","12","0","0"
"1998-02-12 17:00:00.0","176","0","0","0","0","0","205","0","13","0","0"
"1998-02-12 17:10:00.0","73","0","0","0","0","0","95","0","13","0","0"
"1998-02-12 17:20:00.0","396","0","0","0","0","0","432","0","13","0","0"
"1998-02-12 17:30:00.0","396","0","0","0","0","0","442","11","13","0","0"
"1998-02-12 17:40:00.0","240","0","0","0","0","0","588","2","12","0","309"
"1998-02-12 17:50:00.0","3","0","1","0","0","0","275","0","13","0","242"
"1998-02-12 18:00:00.0","0","0","0","0","0","0","59","19","12","0","18"
"1998-02-12 18:10:00.0","0","0","0","0","0","0","74","32","13","0","20"
"1998-02-12 18:20:00.0","0","0","0","0","0","0","102","43","12","0","39"
"1998-02-12 18:30:00.0","0","0","0","0","0","0","108","53","12","0","32"
"1998-02-12 18:40:00.0","0","0","28","0","0","0","170","50","13","0","73"
"1998-02-12 18:50:00.0","0","0","13","0","0","0","146","35","13","0","79"
"1998-02-12 19:00:00.0","0","0","11","0","0","0","81","35","11","0","15"
"1998-02-12 19:10:00.0","0","0","16","0","0","0","66","32","11","0","0"
"1998-02-12 19:20:00.0","0","0","14","0","0","0","75","41","11","0","0"
"1998-02-12 19:30:00.0","0","0","9","0","0","0","91","60","12","0","0"
"1998-02-12 19:40:00.0","0","0","12","0","0","0","85","53","12","0","0"
"1998-02-12 19:50:00.0","0","0","15","0","0","0","95","59","12","0","0"
"1998-02-12 20:00:00.0","0","0","10","0","0","0","101","62","13","4","0"
"1998-02-12 20:10:00.0","0","0","9","0","2","0","84","42","13","8","0"
"1998-02-12 20:20:00.0","0","0","12","0","0","0","73","32","13","9","0"
"1998-02-12 20:30:00.0","0","0","14","0","1","0","79","32","12","9","0"
"1998-02-12 20:40:00.0","0","0","9","0","7","0","80","32","14","8","0"
"1998-02-12 20:50:00.0","0","0","9","0","4","0","59","17","12","9","0"
"1998-02-12 21:00:00.0","0","0","10","0","0","0","39","0","11","8","0"
"1998-02-12 21:10:00.0","0","0","12","0","0","0","42","0","12","8","0"
"1998-02-12 21:20:00.0","0","0","9","0","0","0","38","0","11","8","0"
"1998-02-12 21:30:00.0","0","0","8","0","0","0","39","1","13","9","0"
"1998-02-12 21:40:00.0","0","0","8","0","0","0","42","4","12","8","0"
"1998-02-12 21:50:00.0","0","0","12","0","0","0","40","0","12","8","0"
"1998-02-12 22:00:00.0","0","0","9","0","0","0","39","0","11","7","0"
"1998-02-12 22:10:00.0","0","0","8","0","0","0","36","0","12","8","0"
"1998-02-12 22:20:00.0","0","0","7","0","0","0","37","0","11","8","0"
"1998-02-12 22:30:00.0","0","0","7","0","6","0","40","4","13","0","0"
"1998-02-12 22:40:00.0","0","0","9","0","0","0","32","0","12","0","0"
"1998-02-12 22:50:00.0","0","0","10","0","0","0","33","0","13","0","0"
"1998-02-12 23:00:00.0","0","0","8","0","0","0","31","0","12","0","0"
"1998-02-12 23:10:00.0","0","0","7","0","0","0","30","0","13","0","0"
"1998-02-12 23:20:00.0","0","0","6","0","0","0","30","0","12","0","0"
"1998-02-12 23:30:00.0","0","0","7","0","0","0","25","0","8","0","0"
"1998-02-12 23:40:00.0","0","0","6","0","0","0","15","0","0","0","0"
"1998-02-12 23:50:00.0","0","0","7","0","0","0","16","0","0","0","0"
"1998-02-13 00:00:00.0","0","0","7","0","0","0","17","0","0","0","0"
"1998-02-13 00:10:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 00:20:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 00:30:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 00:40:00.0","0","0","8","0","0","0","17","0","0","0","0"
"1998-02-13 00:50:00.0","0","0","6","0","0","0","16","0","0","0","0"
"1998-02-13 01:00:00.0","0","0","7","0","0","0","15","0","0","0","0"
