"Time","Microwave oven ()","Washing machine ()","Dish washer (12 place setting)","Clothes drier (without condenser) ()","Site consumption ()","Water heater ()","Total site light consumption ()"
"1998-01-26 19:20:00.0","0","0","0","0","146","0","98"
"1998-01-26 19:30:00.0","0","0","0","0","146","0","93"
"1998-01-26 19:40:00.0","0","0","0","0","112","0","47"
"1998-01-26 19:50:00.0","0","0","0","0","71","0","24"
"1998-01-26 20:00:00.0","0","0","0","0","55","0","9"
"1998-01-26 20:10:00.0","0","0","0","0","50","0","4"
"1998-01-26 20:20:00.0","0","0","0","0","45","0","8"
"1998-01-26 20:30:00.0","0","0","0","0","43","0","11"
"1998-01-26 20:40:00.0","0","0","0","0","65","0","33"
"1998-01-26 20:50:00.0","0","0","0","0","79","0","35"
"1998-01-26 21:00:00.0","0","0","0","0","86","0","34"
"1998-01-26 21:10:00.0","0","0","0","0","109","0","33"
"1998-01-26 21:20:00.0","0","0","0","0","102","0","34"
"1998-01-26 21:30:00.0","0","0","0","0","95","0","34"
"1998-01-26 21:40:00.0","0","0","0","0","83","0","24"
"1998-01-26 21:50:00.0","0","0","0","0","66","0","16"
"1998-01-26 22:00:00.0","0","0","0","0","128","69","16"
"1998-01-26 22:10:00.0","0","0","0","0","504","447","16"
"1998-01-26 22:20:00.0","0","0","0","0","508","450","16"
"1998-01-26 22:30:00.0","0","0","0","0","507","449","16"
"1998-01-26 22:40:00.0","0","0","0","0","504","450","16"
"1998-01-26 22:50:00.0","0","0","0","0","522","452","15"
"1998-01-26 23:00:00.0","0","0","0","0","520","451","16"
"1998-01-26 23:10:00.0","0","0","0","0","512","454","16"
"1998-01-26 23:20:00.0","0","0","0","0","512","455","16"
"1998-01-26 23:30:00.0","0","0","0","0","515","456","16"
"1998-01-26 23:40:00.0","0","0","0","0","540","458","23"
"1998-01-26 23:50:00.0","0","0","0","0","428","353","16"
"1998-01-27 00:00:00.0","0","0","0","0","76","0","19"
"1998-01-27 00:10:00.0","0","0","0","0","259","194","10"
"1998-01-27 00:20:00.0","0","0","0","0","438","401","0"
"1998-01-27 00:30:00.0","0","0","0","0","40","0","0"
"1998-01-27 00:40:00.0","0","0","0","0","33","0","0"
"1998-01-27 00:50:00.0","0","0","0","0","24","0","0"
"1998-01-27 01:00:00.0","0","0","0","0","76","52","0"
"1998-01-27 01:10:00.0","0","0","0","0","71","46","0"
"1998-01-27 01:20:00.0","0","0","0","0","25","0","0"
"1998-01-27 01:30:00.0","0","0","0","0","138","114","0"
"1998-01-27 01:40:00.0","0","0","0","0","25","0","0"
"1998-01-27 01:50:00.0","0","0","0","0","24","0","0"
"1998-01-27 02:00:00.0","0","0","0","0","24","0","0"
"1998-01-27 02:10:00.0","0","0","0","0","33","0","0"
"1998-01-27 02:20:00.0","0","0","0","0","55","0","0"
"1998-01-27 02:30:00.0","0","0","0","0","109","55","0"
"1998-01-27 02:40:00.0","0","0","0","0","40","0","0"
"1998-01-27 02:50:00.0","0","0","0","0","255","215","0"
"1998-01-27 03:00:00.0","0","0","0","0","76","48","0"
"1998-01-27 03:10:00.0","0","0","0","0","25","0","0"
"1998-01-27 03:20:00.0","0","0","0","0","24","0","0"
"1998-01-27 03:30:00.0","0","0","0","0","25","0","0"
"1998-01-27 03:40:00.0","0","0","0","0","24","0","0"
"1998-01-27 03:50:00.0","0","0","0","0","26","0","0"
"1998-01-27 04:00:00.0","0","0","0","0","26","0","0"
"1998-01-27 04:10:00.0","0","0","0","0","41","0","0"
"1998-01-27 04:20:00.0","0","0","0","0","31","0","0"
"1998-01-27 04:30:00.0","0","0","0","0","25","0","0"
"1998-01-27 04:40:00.0","0","0","0","0","25","0","0"
"1998-01-27 04:50:00.0","0","0","0","0","43","0","0"
"1998-01-27 05:00:00.0","0","0","0","0","42","0","0"
"1998-01-27 05:10:00.0","0","0","0","0","42","0","0"
"1998-01-27 05:20:00.0","0","0","0","0","40","0","0"
"1998-01-27 05:30:00.0","0","0","0","0","36","0","0"
"1998-01-27 05:40:00.0","0","0","0","0","30","0","0"
"1998-01-27 05:50:00.0","0","0","0","0","40","0","0"
"1998-01-27 06:00:00.0","0","0","0","0","28","0","0"
"1998-01-27 06:10:00.0","0","0","0","0","24","0","0"
"1998-01-27 06:20:00.0","0","0","0","0","24","0","0"
"1998-01-27 06:30:00.0","0","0","0","0","24","0","0"
"1998-01-27 06:40:00.0","0","0","0","0","24","0","0"
"1998-01-27 06:50:00.0","0","0","0","0","24","0","0"
"1998-01-27 07:00:00.0","0","0","0","0","25","0","0"
"1998-01-27 07:10:00.0","0","0","0","0","24","0","0"
"1998-01-27 07:20:00.0","0","0","0","0","33","0","0"
"1998-01-27 07:30:00.0","0","0","0","0","50","0","6"
"1998-01-27 07:40:00.0","0","0","0","0","65","0","7"
"1998-01-27 07:50:00.0","0","0","0","0","78","0","14"
"1998-01-27 08:00:00.0","26","0","0","0","236","0","92"
"1998-01-27 08:10:00.0","0","0","0","0","224","0","127"
"1998-01-27 08:20:00.0","0","0","0","0","83","0","56"
"1998-01-27 08:30:00.0","0","0","0","0","58","0","27"
"1998-01-27 08:40:00.0","0","0","0","0","64","0","37"
"1998-01-27 08:50:00.0","0","0","0","0","34","0","7"
"1998-01-27 09:00:00.0","0","0","0","0","87","0","51"
"1998-01-27 09:10:00.0","0","0","0","0","79","0","40"
"1998-01-27 09:20:00.0","0","0","0","0","41","0","0"
"1998-01-27 09:30:00.0","0","0","0","0","25","0","0"
"1998-01-27 09:40:00.0","0","0","0","0","26","0","0"
"1998-01-27 09:50:00.0","0","0","0","0","26","0","0"
"1998-01-27 10:00:00.0","0","0","0","0","43","0","0"
"1998-01-27 10:10:00.0","0","0","0","0","44","0","0"
"1998-01-27 10:20:00.0","0","0","0","0","41","0","0"
